strategy,annual_return,annual_vol,sharpe,sortino,max_drawdown,turnover,concentration_hhi
Equal Weight,0.1329496182545568,0.16492939799355164,0.6848361761374578,0.6214715224669882,-0.2316680739681487,0.0,0.10000000000000003
S&P 500 (SPY),0.16054424317764976,0.16817816890485737,0.835686606013407,0.7436266647914227,-0.23927185593503753,,
Mean-Variance,0.14615553626094951,0.1983245738718932,0.6361064279529933,0.6285878258322795,-0.33063226292414427,0.10190792561666212,0.8287762128286096
Black-Litterman,0.15796155750379207,0.16083936014762265,0.8577599250405329,0.8112825657408121,-0.19504023858568997,0.17883371772323337,0.21044423927628775
