,XLK,XLF,XLV,XLY,XLI,XLP,XLE,XLU,XLRE,XLB
2018-10-31,0.46004939352395074,3.1848438816761693e-18,0.2004358233578404,0.07833969458555602,0.0,0.19770282431767242,0.0,0.045783428054269756,0.01768883616071061,1.0194888553152759e-17
2018-11-30,0.16409325745139,0.04823390952895973,0.24979274901382895,0.09429726303744236,0.0,0.23628330962092806,1.2713964538287048e-17,0.193027039468322,0.014272471879128968,3.0393236213378805e-17
2018-12-31,0.1546940618967032,0.04589874943970593,0.25547248500781583,0.09079985951535728,0.0,0.2349099561926364,0.0,0.2006264023930892,0.017598485554692195,0.0
2019-01-31,0.336154811073239,0.0,0.202076797184924,0.08658179841992213,0.0,0.06023476684193915,7.809237108357543e-18,0.17436662178603507,0.14058520469394067,0.0
2019-02-28,0.20123045774200904,0.07784915930700544,0.0902063584521111,0.10151554182441642,0.0,0.19722574851084576,0.0,0.1747785355670975,0.15719419859651484,2.2850831334552887e-18
2019-03-31,0.33950940056298673,0.0,0.08774154289437895,0.103742972117737,0.0,0.17373713504265093,1.2279321486861993e-17,0.15782325676659834,0.13744569261564807,0.0
2019-04-30,0.47071746001341175,0.10232483575350138,1.2051700209102924e-18,0.24067149719516154,0.030157688728058806,2.7258674598330777e-19,1.3457774901545063e-18,0.009704199509185912,0.1464243188006807,0.0
2019-05-31,0.4732706289974578,0.0,0.0,0.11377930035598867,0.018119108411045373,0.05656103290081088,0.0,0.17314989294680677,0.16512003638789055,2.120546983451141e-18
2019-06-30,0.36578930949833993,0.13208934601115843,0.08119778226398158,0.16200526418164138,0.09426503653347489,0.06897289781407227,0.020749359253005768,0.0235764394019713,0.031162073854718062,0.020192491187636382
2019-07-31,0.4785763935054043,0.0256436056652934,0.0,0.2420328724572142,2.887856298709523e-18,0.20315699881803492,1.171732774088835e-17,0.026099453379790184,0.02449067617426306,0.0
2019-08-31,0.4789261732225504,0.023259703559582554,1.015761910347357e-17,0.06077980136664767,0.0,0.20560731469199545,0.0,0.029165681808812752,0.2022613253504112,0.0
